Radius   Mass(r<R) logRho    Lum.      Temp.        logPres.  logOpac.
  2.0343   1.0000  -5.6322   1.4256 13201.8609   6.3467   3.0842
  2.0342   1.0000  -5.6130   1.4256 13296.4733   6.3702   3.1081
  2.0341   1.0000  -5.5977   1.4256 13371.5715   6.3889   3.1268
  2.0340   1.0000  -5.5831   1.4256 13444.3801   6.4068   3.1447
  2.0339   1.0000  -5.5662   1.4256 13528.1967   6.4274   3.1651
  2.0338   1.0000  -5.5527   1.4256 13595.4135   6.4439   3.1813
  2.0337   1.0000  -5.5423   1.4256 13647.8333   6.4567   3.1938
  2.0337   1.0000  -5.5321   1.4256 13698.8886   6.4691   3.2059
  2.0336   1.0000  -5.5174   1.4256 13773.5393   6.4872   3.2234
  2.0335   1.0000  -5.4986   1.4256 13868.3308   6.5101   3.2453
  2.0334   1.0000  -5.4808   1.4256 13958.8569   6.5319   3.2659
  2.0333   1.0000  -5.4679   1.4256 14023.8563   6.5475   3.2806
  2.0332   1.0000  -5.4597   1.4256 14066.2905   6.5577   3.2900
  2.0332   1.0000  -5.4476   1.4256 14128.6524   6.5724   3.3038
  2.0331   1.0000  -5.4321   1.4256 14208.5812   6.5914   3.3213
  2.0330   1.0000  -5.4172   1.4256 14286.0644   6.6097   3.3380
  2.0329   1.0000  -5.4027   1.4256 14361.2645   6.6273   3.3541
  2.0328   1.0000  -5.3888   1.4256 14433.8860   6.6443   3.3695
  2.0327   1.0000  -5.3755   1.4256 14504.1204   6.6606   3.3842
  2.0326   1.0000  -5.3625   1.4256 14572.1365   6.6763   3.3983
  2.0325   1.0000  -5.3501   1.4256 14638.0844   6.6915   3.4118
  2.0324   1.0000  -5.3322   1.4256 14734.1049   6.7134   3.4312
  2.0323   1.0000  -5.3152   1.4256 14824.8548   6.7342   3.4495
  2.0322   1.0000  -5.3043   1.4256 14883.7535   6.7475   3.4611
  2.0321   1.0000  -5.2886   1.4256 14969.8357   6.7668   3.4780
  2.0320   1.0000  -5.2686   1.4256 15079.0638   6.7912   3.4992
  2.0318   1.0000  -5.2496   1.4256 15183.3203   6.8144   3.5192
  2.0317   1.0000  -5.2359   1.4256 15258.5920   6.8311   3.5334
  2.0317   1.0000  -5.2270   1.4256 15308.2843   6.8420   3.5428
  2.0316   1.0000  -5.2140   1.4256 15381.2779   6.8578   3.5564
  2.0315   1.0000  -5.1975   1.4256 15474.7562   6.8781   3.5737
  2.0314   1.0000  -5.1816   1.4256 15564.7152   6.8975   3.5901
  2.0312   1.0000  -5.1665   1.4256 15651.4411   6.9160   3.6058
  2.0311   1.0000  -5.1520   1.4256 15735.1860   6.9339   3.6209
  2.0310   1.0000  -5.1380   1.4256 15816.1735   6.9510   3.6353
  2.0309   1.0000  -5.1245   1.4256 15894.6027   6.9674   3.6492
  2.0308   1.0000  -5.1114   1.4256 15971.3259   6.9834   3.6627
  2.0307   1.0000  -5.0987   1.4256 16046.4226   6.9990   3.6759
  2.0306   1.0000  -5.0805   1.4256 16155.8375   7.0213   3.6948
  2.0304   1.0000  -5.0631   1.4256 16259.3813   7.0426   3.7126
  2.0304   1.0000  -5.0520   1.4256 16326.6269   7.0562   3.7241
  2.0303   1.0000  -5.0360   1.4256 16424.9732   7.0759   3.7406
  2.0301   1.0000  -5.0205   1.4256 16519.5230   7.0949   3.7565
  2.0300   1.0000  -5.0104   1.4256 16582.1731   7.1073   3.7669
  2.0299   1.0000  -5.0005   1.4256 16643.4028   7.1194   3.7770
  2.0299   1.0000  -4.9863   1.4256 16733.2244   7.1369   3.7916
  2.0297   1.0000  -4.9637   1.4256 16876.6683   7.1647   3.8147
  2.0295   1.0000  -4.9425   1.4256 17011.7692   7.1907   3.8362
  2.0294   1.0000  -4.9264   1.4256 17115.8712   7.2105   3.8525
  2.0292   1.0000  -4.9111   1.4256 17216.3175   7.2295   3.8681
  2.0291   1.0000  -4.8963   1.4256 17313.3937   7.2476   3.8831
  2.0290   1.0000  -4.8820   1.4256 17408.6058   7.2653   3.8976
  2.0289   1.0000  -4.8680   1.4256 17502.0227   7.2824   3.9117
  2.0287   1.0000  -4.8546   1.4256 17592.6042   7.2990   3.9253
  2.0286   1.0000  -4.8416   1.4256 17680.5417   7.3149   3.9384
  2.0285   1.0000  -4.8291   1.4256 17766.7659   7.3304   3.9511
  2.0284   1.0000  -4.8109   1.4256 17893.6437   7.3529   3.9696
  2.0282   1.0000  -4.7936   1.4256 18013.9814   7.3742   3.9870
  2.0281   1.0000  -4.7839   1.4256 18083.0903   7.3864   3.9969
  2.0280   1.0000  -4.7715   1.4256 18171.3967   7.4016   4.0095
  2.0279   1.0000  -4.7519   1.4256 18313.3651   7.4260   4.0295
  2.0277   1.0000  -4.7332   1.4256 18448.2843   7.4490   4.0484
  2.0275   1.0000  -4.7188   1.4256 18554.2082   7.4669   4.0631
  2.0274   1.0000  -4.7048   1.4256 18658.1968   7.4842   4.0774
  2.0273   1.0000  -4.6913   1.4256 18759.0889   7.5009   4.0912
  2.0271   1.0000  -4.6784   1.4256 18857.0955   7.5170   4.1044
  2.0270   1.0000  -4.6658   1.4256 18953.6793   7.5327   4.1174
  2.0269   1.0000  -4.6534   1.4256 19048.8755   7.5481   4.1301
  2.0268   1.0000  -4.6386   1.4256 19164.7503   7.5665   4.1454
  2.0266   1.0000  -4.6247   1.4256 19273.0344   7.5838   4.1597
  2.0265   1.0000  -4.6125   1.4256 19369.3513   7.5989   4.1722
  2.0263   1.0000  -4.5968   1.4256 19495.8717   7.6185   4.1885
  2.0262   1.0000  -4.5837   1.4256 19600.9883   7.6348   4.2019
  2.0261   1.0000  -4.5710   1.4256 19705.6063   7.6507   4.2151
  2.0259   1.0000  -4.5587   1.4256 19806.5157   7.6660   4.2277
  2.0258   1.0000  -4.5467   1.4256 19907.2143   7.6811   4.2402
  2.0257   1.0000  -4.5312   1.4256 20037.9380   7.7005   4.2561
  2.0255   1.0000  -4.5161   1.4256 20165.8034   7.7193   4.2716
  2.0253   1.0000  -4.5016   1.4256 20290.9581   7.7376   4.2865
  2.0252   1.0000  -4.4861   1.4256 20425.9743   7.7570   4.3025
  2.0250   1.0000  -4.4689   1.4256 20576.9879   7.7784   4.3200
  2.0248   1.0000  -4.4544   1.4256 20706.7310   7.7967   4.3350
  2.0247   1.0000  -4.4400   1.4256 20836.8357   7.8148   4.3497
  2.0245   1.0000  -4.4265   1.4256 20960.2022   7.8318   4.3636
  2.0244   1.0000  -4.4142   1.4256 21074.5517   7.8474   4.3762
  2.0242   1.0000  -4.3978   1.4256 21228.5447   7.8681   4.3931
  2.0240   1.0000  -4.3840   1.4256 21357.6288   7.8854   4.4071
  2.0239   1.0000  -4.3728   1.4256 21465.0924   7.8995   4.4186
  2.0237   1.0000  -4.3598   1.4256 21590.5015   7.9159   4.4318
  2.0236   1.0000  -4.3432   1.4256 21753.7263   7.9370   4.4488
  2.0234   1.0000  -4.3253   1.4256 21930.5523   7.9596   4.4670
  2.0232   1.0000  -4.3133   1.4256 22051.7321   7.9749   4.4792
  2.0231   1.0000  -4.3050   1.4256 22135.6103   7.9854   4.4876
  2.0230   1.0000  -4.2926   1.4256 22264.2510   8.0012   4.5004
  2.0228   1.0000  -4.2753   1.4256 22443.8435   8.0232   4.5180
  2.0225   1.0000  -4.2626   1.4256 22577.1759   8.0394   4.5309
  2.0224   1.0000  -4.2506   1.4256 22705.0267   8.0546   4.5431
  2.0222   1.0000  -4.2325   1.4256 22901.1718   8.0777   4.5616
  2.0220   1.0000  -4.2129   1.4256 23115.4784   8.1026   4.5815
  2.0217   1.0000  -4.1983   1.4256 23277.7323   8.1213   4.5963
  2.0216   1.0000  -4.1851   1.4256 23428.0961   8.1383   4.6098
  2.0214   1.0000  -4.1712   1.4256 23587.9324   8.1562   4.6239
  2.0212   1.0000  -4.1560   1.4256 23765.6485   8.1757   4.6392
  2.0210   1.0000  -4.1426   1.4256 23922.5045   8.1929   4.6525
  2.0208   1.0000  -4.1317   1.4256 24053.5041   8.2070   4.6634
  2.0207   1.0000  -4.1160   1.4256 24244.1871   8.2272   4.6790
  2.0204   1.0000  -4.1013   1.4256 24423.7108   8.2461   4.6935
  2.0202   1.0000  -4.0903   1.4256 24560.7845   8.2603   4.7044
  2.0201   1.0000  -4.0742   1.4256 24765.8036   8.2812   4.7203
  2.0198   1.0000  -4.0585   1.4256 24965.7390   8.3015   4.7357
  2.0196   1.0000  -4.0469   1.4256 25117.3642   8.3166   4.7472
  2.0194   1.0000  -4.0292   1.4256 25353.8757   8.3397   4.7648
  2.0191   1.0000  -4.0108   1.4256 25601.7490   8.3638   4.7832
  2.0189   1.0000  -3.9987   1.4256 25766.7680   8.3795   4.7951
  2.0187   1.0000  -3.9867   1.4256 25933.2391   8.3951   4.8070
  2.0185   1.0000  -3.9703   1.4256 26165.7556   8.4166   4.8233
  2.0182   1.0000  -3.9565   1.4256 26361.3468   8.4346   4.8368
  2.0181   1.0000  -3.9430   1.4256 26560.2879   8.4524   4.8501
  2.0178   1.0000  -3.9252   1.4256 26823.8244   8.4758   4.8673
  2.0175   1.0000  -3.9078   1.4256 27087.3814   8.4988   4.8840
  2.0172   1.0000  -3.8949   1.4256 27284.0482   8.5157   4.8962
  2.0171   1.0000  -3.8864   1.4256 27415.9692   8.5269   4.9043
  2.0169   1.0000  -3.8738   1.4256 27615.2128   8.5436   4.9162
  2.0167   1.0000  -3.8573   1.4256 27879.8476   8.5654   4.9317
  2.0164   1.0000  -3.8410   1.4256 28145.1485   8.5870   4.9469
  2.0161   1.0000  -3.8250   1.4256 28411.2654   8.6083   4.9619
  2.0158   1.0000  -3.8093   1.4256 28678.3428   8.6293   4.9765
  2.0155   1.0000  -3.7938   1.4256 28946.5139   8.6500   4.9909
  2.0153   1.0000  -3.7784   1.4256 29215.8994   8.6705   5.0051
  2.0150   1.0000  -3.7633   1.4256 29486.6097   8.6907   5.0190
  2.0147   1.0000  -3.7484   1.4256 29758.7494   8.7108   5.0326
  2.0144   1.0000  -3.7336   1.4256 30032.4211   8.7306   5.0460
  2.0141   1.0000  -3.7190   1.4256 30307.7282   8.7502   5.0592
  2.0138   1.0000  -3.7046   1.4256 30584.7753   8.7696   5.0720
  2.0136   1.0000  -3.6904   1.4256 30863.6671   8.7889   5.0845
  2.0133   1.0000  -3.6763   1.4256 31144.5042   8.8080   5.0966
  2.0130   1.0000  -3.6624   1.4256 31427.3806   8.8269   5.1084
  2.0127   1.0000  -3.6485   1.4256 31712.3840   8.8457   5.1197
  2.0124   1.0000  -3.6348   1.4256 31999.5977   8.8643   5.1306
  2.0121   1.0000  -3.6213   1.4256 32289.1046   8.8828   5.1412
  2.0119   1.0000  -3.6078   1.4256 32580.9902   8.9012   5.1513
  2.0116   1.0000  -3.5944   1.4256 32875.3437   8.9194   5.1612
  2.0113   1.0000  -3.5812   1.4256 33172.2574   8.9376   5.1708
  2.0110   1.0000  -3.5681   1.4256 33471.8254   8.9556   5.1802
  2.0107   1.0000  -3.5584   1.4256 33696.5827   8.9690   5.1871
  2.0105   1.0000  -3.5519   1.4256 33848.4227   8.9779   5.1916
  2.0104   1.0000  -3.5422   1.4256 34079.2657   8.9913   5.1984
  2.0101   1.0000  -3.5294   1.4256 34387.3520   9.0090   5.2071
  2.0098   1.0000  -3.5166   1.4256 34698.4553   9.0266   5.2155
  2.0095   1.0000  -3.5072   1.4256 34932.0554   9.0397   5.2215
  2.0094   1.0000  -3.5009   1.4256 35089.9283   9.0484   5.2254
  2.0092   1.0000  -3.4914   1.4256 35330.0314   9.0615   5.2310
  2.0089   1.0000  -3.4789   1.4256 35650.7208   9.0789   5.2379
  2.0086   1.0000  -3.4665   1.4256 35974.7980   9.0961   5.2444
  2.0083   1.0000  -3.4542   1.4256 36302.3675   9.1133   5.2503
  2.0080   1.0000  -3.4420   1.4256 36633.5380   9.1305   5.2557
  2.0077   1.0000  -3.4298   1.4256 36968.4205   9.1475   5.2606
  2.0074   1.0000  -3.4177   1.4256 37307.1252   9.1645   5.2651
  2.0070   1.0000  -3.4057   1.4256 37649.7602   9.1814   5.2693
  2.0067   1.0000  -3.3967   1.4256 37907.5010   9.1940   5.2722
  2.0066   1.0000  -3.3908   1.4256 38081.8387   9.2024   5.2740
  2.0064   1.0000  -3.3818   1.4256 38347.2081   9.2151   5.2765
  2.0061   1.0000  -3.3700   1.4256 38702.2627   9.2318   5.2795
  2.0058   1.0000  -3.3552   1.4256 39155.4803   9.2527   5.2827
  2.0053   1.0000  -3.3406   1.4256 39609.3241   9.2734   5.2853
  2.0049   1.0000  -3.3290   1.4256 39980.1875   9.2900   5.2868
  2.0046   1.0000  -3.3175   1.4256 40355.8713   9.3065   5.2879
  2.0043   1.0000  -3.3060   1.4256 40736.5161   9.3230   5.2884
  2.0039   1.0000  -3.2945   1.4256 41122.2593   9.3394   5.2885
  2.0036   1.0000  -3.2832   1.4256 41513.2349   9.3558   5.2881
  2.0032   1.0000  -3.2718   1.4256 41909.5741   9.3721   5.2871
  2.0029   1.0000  -3.2605   1.4256 42311.4077   9.3884   5.2857
  2.0025   1.0000  -3.2493   1.4256 42718.8705   9.4047   5.2837
  2.0022   1.0000  -3.2381   1.4256 43132.1037   9.4209   5.2811
  2.0018   1.0000  -3.2270   1.4256 43551.2556   9.4371   5.2782
  2.0015   0.9999  -3.2159   1.4256 43976.4817   9.4532   5.2748
  2.0011   0.9999  -3.2048   1.4256 44407.9426   9.4694   5.2711
  2.0007   0.9999  -3.1939   1.4256 44845.8002   9.4855   5.2670
  2.0004   0.9999  -3.1830   1.4256 45290.2162   9.5015   5.2626
  2.0000   0.9999  -3.1721   1.4256 45741.3512   9.5176   5.2578
  1.9996   0.9999  -3.1612   1.4256 46199.3634   9.5336   5.2526
  1.9992   0.9999  -3.1504   1.4256 46664.4084   9.5495   5.2469
  1.9988   0.9999  -3.1397   1.4256 47136.6392   9.5655   5.2406
  1.9985   0.9999  -3.1290   1.4256 47616.2073   9.5814   5.2338
  1.9981   0.9999  -3.1183   1.4256 48103.2649   9.5973   5.2263
  1.9977   0.9999  -3.1077   1.4256 48597.9672   9.6132   5.2184
  1.9973   0.9999  -3.0971   1.4256 49100.4743   9.6291   5.2102
  1.9969   0.9999  -3.0866   1.4256 49610.9520   9.6449   5.2016
  1.9964   0.9999  -3.0761   1.4256 50129.5692   9.6607   5.1929
  1.9960   0.9999  -3.0656   1.4256 50656.4969   9.6765   5.1841
  1.9956   0.9999  -3.0552   1.4256 51191.9024   9.6923   5.1751
  1.9952   0.9999  -3.0448   1.4256 51735.9462   9.7081   5.1659
  1.9948   0.9999  -3.0345   1.4256 52288.7801   9.7238   5.1564
  1.9943   0.9999  -3.0242   1.4256 52850.5467   9.7395   5.1464
  1.9939   0.9999  -3.0139   1.4256 53421.3830   9.7552   5.1360
  1.9934   0.9999  -3.0037   1.4256 54001.4252   9.7709   5.1250
  1.9930   0.9999  -2.9935   1.4256 54590.8126   9.7866   5.1137
  1.9925   0.9999  -2.9833   1.4256 55189.6874   9.8022   5.1022
  1.9921   0.9999  -2.9732   1.4256 55798.1951   9.8179   5.0906
  1.9916   0.9999  -2.9631   1.4256 56416.4806   9.8335   5.0792
  1.9912   0.9999  -2.9530   1.4256 57044.6857   9.8491   5.0678
  1.9907   0.9999  -2.9455   1.4256 57519.2816   9.8608   5.0595
  1.9904   0.9999  -2.9405   1.4256 57840.9097   9.8685   5.0539
  1.9902   0.9999  -2.9329   1.4256 58331.3741   9.8803   5.0453
  1.9897   0.9999  -2.9230   1.4256 58990.1366   9.8959   5.0340
  1.9892   0.9999  -2.9130   1.4256 59659.3256   9.9114   5.0224
  1.9887   0.9999  -2.9031   1.4256 60339.0456   9.9270   5.0105
  1.9882   0.9998  -2.8932   1.4256 61029.3915   9.9425   4.9985
  1.9877   0.9998  -2.8833   1.4256 61730.4535   9.9580   4.9864
  1.9872   0.9998  -2.8734   1.4256 62442.3216   9.9735   4.9743
  1.9867   0.9998  -2.8636   1.4256 63165.0863   9.9890   4.9624
  1.9862   0.9998  -2.8537   1.4256 63898.8373  10.0045   4.9505
  1.9856   0.9998  -2.8439   1.4256 64643.6611  10.0200   4.9389
  1.9851   0.9998  -2.8342   1.4256 65399.6375  10.0355   4.9274
  1.9846   0.9998  -2.8244   1.4256 66166.8392  10.0510   4.9160
  1.9840   0.9998  -2.8147   1.4256 66945.3316  10.0664   4.9047
  1.9834   0.9998  -2.8049   1.4256 67735.1732  10.0819   4.8936
  1.9829   0.9998  -2.7952   1.4256 68536.4161  10.0973   4.8826
  1.9823   0.9998  -2.7855   1.4256 69349.1047  10.1128   4.8716
  1.9817   0.9998  -2.7758   1.4256 70173.2768  10.1282   4.8608
  1.9811   0.9998  -2.7661   1.4256 71008.9662  10.1436   4.8501
  1.9805   0.9998  -2.7565   1.4256 71856.2045  10.1590   4.8395
  1.9799   0.9997  -2.7468   1.4256 72715.0218  10.1744   4.8290
  1.9793   0.9997  -2.7372   1.4256 73585.4461  10.1898   4.8187
  1.9787   0.9997  -2.7275   1.4256 74467.5015  10.2052   4.8086
  1.9781   0.9997  -2.7179   1.4256 75361.2073  10.2206   4.7987
  1.9775   0.9997  -2.7082   1.4256 76266.5780  10.2360   4.7889
  1.9768   0.9997  -2.6986   1.4256 77183.6253  10.2513   4.7793
  1.9762   0.9997  -2.6890   1.4256 78112.3596  10.2667   4.7698
  1.9755   0.9997  -2.6794   1.4256 79052.7918  10.2821   4.7605
  1.9749   0.9997  -2.6697   1.4256 80004.9328  10.2974   4.7513
  1.9742   0.9996  -2.6601   1.4256 80968.7955  10.3128   4.7423
  1.9735   0.9996  -2.6505   1.4256 81944.3986  10.3281   4.7334
  1.9728   0.9996  -2.6409   1.4256 82931.7691  10.3435   4.7246
  1.9721   0.9996  -2.6313   1.4256 83930.9437  10.3588   4.7160
  1.9714   0.9996  -2.6216   1.4256 84941.9666  10.3741   4.7075
  1.9707   0.9996  -2.6120   1.4256 85964.8861  10.3895   4.6991
  1.9700   0.9996  -2.6024   1.4256 86999.7539  10.4048   4.6906
  1.9693   0.9996  -2.5928   1.4256 88046.6263  10.4201   4.6822
  1.9685   0.9995  -2.5832   1.4256 89105.5678  10.4354   4.6738
  1.9678   0.9995  -2.5735   1.4256 90176.6550  10.4507   4.6653
  1.9670   0.9995  -2.5639   1.4256 91259.9773  10.4661   4.6568
  1.9663   0.9995  -2.5543   1.4256 92355.6365  10.4814   4.6483
  1.9655   0.9995  -2.5446   1.4256 93463.7482  10.4967   4.6397
