Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
  1.0146   1.0000  -5.0706   1.0404 18493.7928   7.1457   3.9181
  1.0146   1.0000  -5.0616   1.0404 18560.2790   7.1569   3.9265
  1.0146   1.0000  -5.0486   1.0404 18658.0886   7.1732   3.9387
  1.0145   1.0000  -5.0319   1.0404 18783.7229   7.1940   3.9543
  1.0145   1.0000  -5.0121   1.0404 18935.2936   7.2188   3.9728
  1.0144   1.0000  -4.9897   1.0404 19108.2881   7.2467   3.9936
  1.0144   1.0000  -4.9721   1.0404 19245.8574   7.2687   4.0100
  1.0143   1.0000  -4.9586   1.0404 19352.7105   7.2855   4.0225
  1.0143   1.0000  -4.9457   1.0404 19456.5838   7.3017   4.0346
  1.0143   1.0000  -4.9278   1.0404 19603.6043   7.3243   4.0514
  1.0142   1.0000  -4.9112   1.0404 19739.2029   7.3450   4.0668
  1.0142   1.0000  -4.9010   1.0404 19824.7552   7.3579   4.0765
  1.0141   1.0000  -4.8910   1.0404 19908.4920   7.3704   4.0858
  1.0141   1.0000  -4.8766   1.0404 20031.5102   7.3886   4.0994
  1.0141   1.0000  -4.8627   1.0404 20149.7229   7.4060   4.1124
  1.0140   1.0000  -4.8538   1.0404 20227.0411   7.4172   4.1208
  1.0140   1.0000  -4.8408   1.0404 20340.8865   7.4335   4.1330
  1.0139   1.0000  -4.8243   1.0404 20487.3732   7.4544   4.1486
  1.0139   1.0000  -4.8086   1.0404 20629.0006   7.4743   4.1635
  1.0139   1.0000  -4.7972   1.0404 20731.8678   7.4886   4.1742
  1.0138   1.0000  -4.7862   1.0404 20833.1552   7.5025   4.1846
  1.0138   1.0000  -4.7687   1.0404 20996.9892   7.5247   4.2012
  1.0137   1.0000  -4.7488   1.0404 21185.3967   7.5500   4.2201
  1.0137   1.0000  -4.7299   1.0404 21366.4129   7.5738   4.2379
  1.0136   1.0000  -4.7150   1.0404 21511.6785   7.5928   4.2521
  1.0136   1.0000  -4.7007   1.0404 21653.5072   7.6109   4.2657
  1.0135   1.0000  -4.6844   1.0404 21818.4517   7.6318   4.2813
  1.0135   1.0000  -4.6712   1.0404 21952.0321   7.6485   4.2938
  1.0134   1.0000  -4.6611   1.0404 22056.8646   7.6615   4.3034
  1.0134   1.0000  -4.6512   1.0404 22159.5918   7.6741   4.3128
  1.0134   1.0000  -4.6370   1.0404 22310.6802   7.6923   4.3264
  1.0133   1.0000  -4.6189   1.0404 22504.6863   7.7155   4.3437
  1.0132   1.0000  -4.6017   1.0404 22691.9114   7.7375   4.3600
  1.0132   1.0000  -4.5894   1.0404 22827.6812   7.7533   4.3716
  1.0132   1.0000  -4.5814   1.0404 22916.7429   7.7636   4.3792
  1.0131   1.0000  -4.5699   1.0404 23048.2494   7.7785   4.3901
  1.0131   1.0000  -4.5550   1.0404 23218.3583   7.7976   4.4041
  1.0130   1.0000  -4.5408   1.0404 23384.7238   7.8160   4.4176
  1.0130   1.0000  -4.5270   1.0404 23547.5705   7.8338   4.4305
  1.0129   1.0000  -4.5138   1.0404 23706.1127   7.8509   4.4429
  1.0129   1.0000  -4.5011   1.0404 23860.6295   7.8674   4.4548
  1.0128   1.0000  -4.4888   1.0404 24011.3734   7.8832   4.4663
  1.0128   1.0000  -4.4770   1.0404 24158.5761   7.8985   4.4773
  1.0127   1.0000  -4.4601   1.0404 24374.3893   7.9205   4.4932
  1.0126   1.0000  -4.4440   1.0404 24581.0672   7.9415   4.5082
  1.0126   1.0000  -4.4338   1.0404 24716.0544   7.9549   4.5178
  1.0126   1.0000  -4.4190   1.0404 24914.5572   7.9743   4.5316
  1.0125   1.0000  -4.4002   1.0404 25169.3922   7.9989   4.5492
  1.0124   1.0000  -4.3825   1.0404 25415.2853   8.0221   4.5659
  1.0123   1.0000  -4.3696   1.0404 25594.6282   8.0389   4.5779
  1.0123   1.0000  -4.3613   1.0404 25713.6125   8.0499   4.5857
  1.0123   1.0000  -4.3492   1.0404 25889.2363   8.0658   4.5970
  1.0122   1.0000  -4.3337   1.0404 26116.2531   8.0862   4.6114
  1.0121   1.0000  -4.3190   1.0404 26336.6727   8.1057   4.6251
  1.0121   1.0000  -4.3049   1.0404 26550.9809   8.1243   4.6381
  1.0120   1.0000  -4.2914   1.0404 26759.6031   8.1422   4.6505
  1.0120   1.0000  -4.2785   1.0404 26962.9140   8.1594   4.6623
  1.0119   1.0000  -4.2661   1.0404 27161.2470   8.1759   4.6736
  1.0118   1.0000  -4.2540   1.0404 27356.6207   8.1920   4.6845
  1.0118   1.0000  -4.2422   1.0404 27549.1524   8.2076   4.6951
  1.0117   1.0000  -4.2255   1.0404 27831.5021   8.2300   4.7102
  1.0116   1.0000  -4.2095   1.0404 28102.0137   8.2514   4.7246
  1.0116   1.0000  -4.1993   1.0404 28278.7215   8.2651   4.7337
  1.0115   1.0000  -4.1846   1.0404 28538.6125   8.2848   4.7469
  1.0114   1.0000  -4.1704   1.0404 28791.1456   8.3038   4.7596
  1.0114   1.0000  -4.1611   1.0404 28959.3452   8.3163   4.7679
  1.0114   1.0000  -4.1521   1.0404 29124.5527   8.3284   4.7759
  1.0113   1.0000  -4.1391   1.0404 29368.0740   8.3460   4.7874
  1.0112   1.0000  -4.1186   1.0404 29760.5496   8.3738   4.8053
  1.0111   1.0000  -4.0992   1.0404 30134.9386   8.4000   4.8218
  1.0110   1.0000  -4.0846   1.0404 30425.7260   8.4198   4.8341
  1.0109   1.0000  -4.0707   1.0404 30708.4344   8.4388   4.8457
  1.0109   1.0000  -4.0573   1.0404 30983.6374   8.4570   4.8566
  1.0108   1.0000  -4.0444   1.0404 31255.4263   8.4747   4.8671
  1.0107   1.0000  -4.0318   1.0404 31523.9100   8.4919   4.8772
  1.0107   1.0000  -4.0197   1.0404 31785.9516   8.5085   4.8868
  1.0106   1.0000  -4.0080   1.0404 32041.9515   8.5244   4.8960
  1.0105   1.0000  -3.9967   1.0404 32294.4950   8.5400   4.9049
  1.0105   1.0000  -3.9804   1.0404 32668.3459   8.5625   4.9175
  1.0103   1.0000  -3.9648   1.0404 33027.0163   8.5839   4.9292
  1.0103   1.0000  -3.9560   1.0404 33234.1339   8.5960   4.9356
  1.0102   1.0000  -3.9449   1.0404 33499.8858   8.6114   4.9436
  1.0101   1.0000  -3.9274   1.0404 33930.6067   8.6357   4.9559
  1.0100   1.0000  -3.9107   1.0404 34344.7345   8.6588   4.9670
  1.0099   1.0000  -3.8979   1.0404 34672.2925   8.6767   4.9752
  1.0098   1.0000  -3.8854   1.0404 34996.2564   8.6941   4.9828
  1.0098   1.0000  -3.8734   1.0404 35312.8375   8.7108   4.9898
  1.0097   1.0000  -3.8619   1.0404 35622.5165   8.7269   4.9962
  1.0096   1.0000  -3.8506   1.0404 35929.7836   8.7427   5.0021
  1.0095   1.0000  -3.8397   1.0404 36234.7187   8.7581   5.0076
  1.0095   1.0000  -3.8266   1.0404 36608.4095   8.7766   5.0137
  1.0094   1.0000  -3.8143   1.0404 36961.1135   8.7938   5.0191
  1.0093   1.0000  -3.8037   1.0404 37276.7368   8.8090   5.0234
  1.0092   1.0000  -3.7898   1.0404 37694.7416   8.8286   5.0286
  1.0091   1.0000  -3.7783   1.0404 38045.7210   8.8449   5.0325
  1.0090   1.0000  -3.7672   1.0404 38396.8736   8.8609   5.0360
  1.0089   1.0000  -3.7564   1.0404 38739.0567   8.8763   5.0389
  1.0089   1.0000  -3.7459   1.0404 39082.2308   8.8913   5.0414
  1.0088   1.0000  -3.7323   1.0404 39532.1996   8.9108   5.0441
  1.0087   1.0000  -3.7192   1.0404 39976.6299   8.9297   5.0460
  1.0086   1.0000  -3.7066   1.0404 40415.8778   8.9479   5.0471
  1.0085   1.0000  -3.6932   1.0404 40894.2450   8.9674   5.0476
  1.0083   1.0000  -3.6784   1.0404 41435.3537   8.9889   5.0473
  1.0082   1.0000  -3.6658   1.0404 41905.8641   9.0072   5.0463
  1.0081   1.0000  -3.6535   1.0404 42381.5268   9.0253   5.0446
  1.0080   1.0000  -3.6419   1.0404 42837.8757   9.0424   5.0424
  1.0079   1.0000  -3.6313   1.0404 43263.9359   9.0580   5.0398
  1.0078   1.0000  -3.6173   1.0404 43843.4855   9.0787   5.0356
  1.0077   1.0000  -3.6056   1.0404 44335.6724   9.0960   5.0314
  1.0076   1.0000  -3.5960   1.0404 44748.0851   9.1102   5.0273
  1.0075   1.0000  -3.5850   1.0404 45233.9309   9.1267   5.0221
  1.0074   1.0000  -3.5710   1.0404 45872.0564   9.1477   5.0143
  1.0072   1.0000  -3.5559   1.0404 46573.4306   9.1704   5.0049
  1.0071   1.0000  -3.5458   1.0404 47059.3959   9.1857   4.9980
  1.0070   1.0000  -3.5388   1.0404 47397.8500   9.1962   4.9929
  1.0070   1.0000  -3.5284   1.0404 47919.7370   9.2121   4.9849
  1.0068   1.0000  -3.5139   1.0404 48656.9328   9.2341   4.9730
  1.0067   1.0000  -3.5033   1.0404 49210.8005   9.2504   4.9638
  1.0066   1.0000  -3.4933   1.0404 49744.8011   9.2656   4.9545
  1.0065   1.0000  -3.4783   1.0404 50572.5813   9.2888   4.9395
  1.0063   1.0000  -3.4621   1.0404 51489.0519   9.3138   4.9223
  1.0061   1.0000  -3.4500   1.0404 52191.1090   9.3325   4.9088
  1.0060   1.0000  -3.4390   1.0404 52845.9795   9.3495   4.8959
  1.0058   1.0000  -3.4275   1.0404 53548.5995   9.3675   4.8822
  1.0057   1.0000  -3.4150   1.0404 54335.3341   9.3871   4.8668
  1.0055   1.0000  -3.4039   1.0404 55036.6860   9.4043   4.8530
  1.0055   1.0000  -3.3950   1.0404 55625.2087   9.4184   4.8415
  1.0053   1.0000  -3.3821   1.0404 56487.6021   9.4387   4.8246
  1.0051   1.0000  -3.3700   1.0404 57306.8850   9.4577   4.8085
  1.0050   1.0000  -3.3610   1.0404 57935.7100   9.4720   4.7963
  1.0049   1.0000  -3.3477   1.0404 58880.7709   9.4929   4.7780
  1.0047   1.0000  -3.3349   1.0404 59810.4984   9.5133   4.7605
  1.0045   1.0000  -3.3253   1.0404 60518.3907   9.5284   4.7473
  1.0044   1.0000  -3.3108   1.0404 61627.6108   9.5516   4.7272
  1.0041   1.0000  -3.2956   1.0404 62798.5417   9.5757   4.7069
  1.0040   1.0000  -3.2856   1.0404 63581.3424   9.5915   4.6937
  1.0039   1.0000  -3.2758   1.0404 64372.9776   9.6072   4.6807
  1.0037   1.0000  -3.2623   1.0404 65482.2390   9.6288   4.6630
  1.0035   1.0000  -3.2510   1.0404 66418.6298   9.6468   4.6486
  1.0033   1.0000  -3.2397   1.0404 67372.3859   9.6647   4.6342
  1.0031   1.0000  -3.2250   1.0404 68638.5142   9.6882   4.6159
  1.0029   1.0000  -3.2105   1.0404 69906.4770   9.7113   4.5984
  1.0026   1.0000  -3.1998   1.0404 70853.2725   9.7283   4.5861
  1.0025   1.0000  -3.1928   1.0404 71488.4239   9.7395   4.5781
  1.0024   1.0000  -3.1823   1.0404 72447.6207   9.7562   4.5664
  1.0022   1.0000  -3.1684   1.0404 73720.8327   9.7782   4.5517
  1.0019   1.0000  -3.1548   1.0404 74995.7905   9.7999   4.5375
  1.0017   1.0000  -3.1413   1.0404 76272.5772   9.8213   4.5238
  1.0015   1.0000  -3.1280   1.0404 77551.3365   9.8424   4.5105
  1.0012   1.0000  -3.1148   1.0404 78832.2525   9.8632   4.4980
  1.0010   1.0000  -3.1017   1.0404 80115.5379   9.8838   4.4862
  1.0008   1.0000  -3.0888   1.0404 81401.4389   9.9042   4.4750
  1.0005   1.0000  -3.0760   1.0404 82690.2408   9.9243   4.4643
  1.0003   1.0000  -3.0633   1.0404 83982.2662   9.9442   4.4539
  1.0000   1.0000  -3.0507   1.0404 85277.8870   9.9640   4.4438
  0.9998   1.0000  -3.0382   1.0404 86577.5492   9.9835   4.4339
  0.9995   1.0000  -3.0258   1.0404 87881.7818  10.0029   4.4242
  0.9993   1.0000  -3.0135   1.0404 89191.1720  10.0221   4.4147
  0.9990   1.0000  -3.0013   1.0404 90506.3243  10.0412   4.4055
  0.9988   1.0000  -2.9892   1.0404 91827.8441  10.0601   4.3964
  0.9985   1.0000  -2.9772   1.0404 93156.3462  10.0788   4.3874
  0.9983   1.0000  -2.9652   1.0404 94492.4666  10.0975   4.3785
  0.9980   1.0000  -2.9533   1.0404 95836.8688  10.1160   4.3697
  0.9978   1.0000  -2.9415   1.0404 97190.2414  10.1344   4.3609
  0.9975   1.0000  -2.9298   1.0404 98553.2914  10.1526   4.3520
  0.9972   1.0000  -2.9181   1.0404 99926.7406  10.1708   4.3431
  0.9970   1.0000  -2.9094   1.0404 100956.0927  10.1842   4.3364
  0.9968   1.0000  -2.9037   1.0404 101651.1862  10.1932   4.3318
  0.9967   1.0000  -2.8950   1.0404 102707.5532  10.2067   4.3248
  0.9964   1.0000  -2.8835   1.0404 104116.6207  10.2246   4.3154
  0.9962   1.0000  -2.8722   1.0404 105539.0198  10.2423   4.3060
  0.9959   1.0000  -2.8637   1.0404 106606.9430  10.2555   4.2988
