Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
0.169307 0.248137130   1.6775   0.8976 10548664.7262  16.8123   0.2911
0.167023 0.241593450   1.6869   0.8894 10632311.0575  16.8243   0.2876
0.164724 0.235042254   1.6963   0.8807 10717210.6419  16.8363   0.2841
0.162409 0.228485343   1.7058   0.8716 10803386.3554  16.8484   0.2806
0.160076 0.221924608   1.7153   0.8619 10890859.8134  16.8604   0.2771
0.157725 0.215362028   1.7248   0.8518 10979651.5648  16.8725   0.2734
0.155356 0.208799681   1.7344   0.8412 11069781.5071  16.8846   0.2697
0.152967 0.202239744   1.7440   0.8301 11161269.4769  16.8967   0.2660
0.150557 0.195684502   1.7537   0.8184 11254135.9033  16.9089   0.2622
0.148127 0.189136354   1.7635   0.8062 11348402.3907  16.9210   0.2583
0.145675 0.182597819   1.7733   0.7934 11444092.1236  16.9332   0.2544
0.143199 0.176071543   1.7832   0.7799 11541230.0144  16.9454   0.2504
0.140699 0.169560309   1.7931   0.7659 11639842.5916  16.9577   0.2464
0.138174 0.163067043   1.8031   0.7512 11739957.7249  16.9699   0.2423
0.135623 0.156594828   1.8132   0.7358 11841604.2760  16.9822   0.2382
0.133044 0.150146910   1.8234   0.7197 11944811.7815  16.9945   0.2341
0.130436 0.143726711   1.8337   0.7029 12049610.1438  17.0069   0.2299
0.127797 0.137337845   1.8441   0.6854 12156029.4513  17.0193   0.2257
0.125126 0.130984129   1.8546   0.6671 12264100.0315  17.0317   0.2215
0.122420 0.124669602   1.8638   0.6481 12360181.0349  17.0426   0.2177
0.120370 0.119966307   1.8718   0.6333 12443403.9766  17.0519   0.2144
0.118297 0.115287013   1.8785   0.6181 12513725.7839  17.0598   0.2117
0.116900 0.112175485   1.8839   0.6077 12570330.4050  17.0661   0.2095
0.115499 0.109090369   1.8920   0.5972 12655638.7422  17.0754   0.2062
0.112658 0.102949116   1.9030   0.5755 12771509.4790  17.0880   0.2017
0.109772 0.096868555   1.9114   0.5530 12860113.9753  17.0975   0.1983
0.108307 0.093844131   1.9198   0.5414 12948927.7119  17.1070   0.1948
0.105348 0.087864557   1.9311   0.5178 13069461.8080  17.1197   0.1902
0.102336 0.081960518   1.9426   0.4934 13191926.2691  17.1324   0.1856
0.099266 0.076138740   1.9571   0.4683 13346710.8876  17.1483   0.1798
0.094548 0.067589002   1.9750   0.4294 13537888.9695  17.1676   0.1727
0.089655 0.059242440   1.9933   0.3889 13733801.5210  17.1870   0.1655
0.084595 0.051184081   2.0091   0.3472 13902053.4745  17.2035   0.1595
0.081097 0.045963575   2.0249   0.3187 14071379.3585  17.2198   0.1535
0.075627 0.038384038   2.0415   0.2752 14247869.0649  17.2365   0.1474
0.071827 0.033543440   2.0580   0.2460 14423678.1005  17.2529   0.1414
0.065854 0.026648627   2.0755   0.2021 14607972.8877  17.2699   0.1352
0.061623 0.022291872   2.0927   0.1730 14789448.1337  17.2863   0.1292
0.054939 0.016298442   2.1145   0.1308 15015973.2679  17.3065   0.1217
0.047386 0.010807840   2.1375   0.0899 15253533.0198  17.3273   0.1138
0.038370 0.005944316   2.1584   0.0513 15466664.0120  17.3457   0.1066
0.031336 0.003314756   2.1730   0.0293 15614254.0804  17.3583   0.1015
0.025009 0.001715487   2.1837   0.0154 15722063.7284  17.3674   0.0976
0.019733 0.000853015   2.1906   0.0078 15791221.1639  17.3732   0.0952
0.016150 0.000470703   2.1948   0.0043 15832828.8585  17.3767   0.0936
0.012887 0.000240352   2.1978   0.0022 15862246.1773  17.3791   0.0926
0.010357 0.000125176   2.1996   0.0012 15880550.4119  17.3806   0.0919
0.008429 0.000067588   2.2007   0.0006 15891798.1727  17.3816   0.0915
0.007002 0.000038795   2.2014   0.0004 15898568.3349  17.3821   0.0912
0.005998 0.000024398   2.2018   0.0002 15902520.3886  17.3825   0.0911
0.005337 0.000017199   2.2021   0.0002 15905481.1749  17.3827   0.0910
0.004454 0.000010001   2.2024   0.0001 15908487.4049  17.3830   0.0909
0.003535 0.000005000   2.2026   0.0000 15910816.6038  17.3832   0.0908
0.002805 0.000002500   2.2028   0.0000 15912284.0519  17.3833   0.0907
0.002226 0.000001250   2.2029   0.0000 15913208.5434  17.3834   0.0907
0.001767 0.000000625   2.2029   0.0000 15913790.9591  17.3834   0.0907
0.001402 0.000000313   2.2030   0.0000 15914157.8666  17.3834   0.0907
0.001113 0.000000156   2.2030   0.0000 15914389.0068  17.3835   0.0907
