Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
1.016383 0.999999999  -5.9459   1.0404 13343.8090   6.0609   3.0357
1.016352 0.999999999  -5.9268   1.0404 13442.3555   6.0849   3.0591
1.016322 0.999999999  -5.9086   1.0404 13535.8994   6.1077   3.0810
1.016293 0.999999998  -5.8955   1.0404 13602.7018   6.1241   3.0964
1.016279 0.999999998  -5.8870   1.0404 13646.2047   6.1347   3.1064
1.016265 0.999999998  -5.8747   1.0404 13709.9883   6.1501   3.1208
1.016238 0.999999998  -5.8588   1.0404 13791.3897   6.1698   3.1391
1.016213 0.999999998  -5.8437   1.0404 13869.4750   6.1887   3.1564
1.016188 0.999999998  -5.8292   1.0404 13944.5270   6.2067   3.1728
1.016164 0.999999998  -5.8153   1.0404 14016.7937   6.2241   3.1884
1.016141 0.999999998  -5.8019   1.0404 14086.4943   6.2408   3.2033
1.016118 0.999999998  -5.7889   1.0404 14153.8238   6.2568   3.2176
1.016096 0.999999998  -5.7765   1.0404 14218.9554   6.2724   3.2312
1.016075 0.999999998  -5.7644   1.0404 14282.0437   6.2873   3.2443
1.016055 0.999999998  -5.7527   1.0404 14343.2269   6.3018   3.2568
1.016034 0.999999998  -5.7359   1.0404 14432.3297   6.3226   3.2749
1.015996 0.999999997  -5.7198   1.0404 14516.5760   6.3425   3.2918
1.015977 0.999999997  -5.7045   1.0404 14598.6076   6.3615   3.3080
1.015941 0.999999997  -5.6897   1.0404 14676.5777   6.3798   3.3232
1.015924 0.999999997  -5.6757   1.0404 14752.6809   6.3973   3.3379
1.015890 0.999999997  -5.6577   1.0404 14849.5541   6.4195   3.3563
1.015858 0.999999997  -5.6447   1.0404 14919.0951   6.4355   3.3694
1.015842 0.999999997  -5.6363   1.0404 14964.4911   6.4459   3.3779
1.015827 0.999999997  -5.6241   1.0404 15031.2043   6.4609   3.3902
1.015797 0.999999997  -5.6085   1.0404 15116.7146   6.4803   3.4059
1.015768 0.999999996  -5.5935   1.0404 15199.0710   6.4988   3.4208
1.015740 0.999999996  -5.5791   1.0404 15278.5244   6.5165   3.4350
1.015713 0.999999996  -5.5653   1.0404 15355.2968   6.5335   3.4486
1.015687 0.999999996  -5.5521   1.0404 15429.5858   6.5500   3.4617
1.015662 0.999999996  -5.5393   1.0404 15501.5678   6.5658   3.4742
1.015637 0.999999996  -5.5269   1.0404 15571.4000   6.5810   3.4862
1.015613 0.999999995  -5.5092   1.0404 15673.1344   6.6029   3.5036
1.015567 0.999999995  -5.4922   1.0404 15769.3941   6.6238   3.5199
1.015545 0.999999995  -5.4814   1.0404 15831.9043   6.6372   3.5303
1.015523 0.999999995  -5.4657   1.0404 15923.3180   6.6565   3.5455
1.015482 0.999999995  -5.4507   1.0404 16010.4117   6.6750   3.5598
1.015462 0.999999994  -5.4410   1.0404 16067.1481   6.6869   3.5690
1.015442 0.999999994  -5.4271   1.0404 16150.3656   6.7042   3.5825
1.015404 0.999999994  -5.4136   1.0404 16230.0842   6.7209   3.5953
1.015386 0.999999994  -5.4049   1.0404 16282.1462   6.7316   3.6036
1.015368 0.999999994  -5.3923   1.0404 16358.6877   6.7472   3.6156
1.015332 0.999999993  -5.3761   1.0404 16456.8765   6.7672   3.6311
